"Airline","Date_of_Journey","Source","Destination","Route","Dep_Time","Arrival_Time","Duration","Total_Stops","Additional_Info","Price","Cabin_Class","Number_of_Stops","Flight_Layover","Booking_Date","Days_Until_Departure","Is_Holiday_Season","Is_Peak_Season","ATF_Price_INR"
"IndiGo","2019-03-24 00:00:00","Banglore","New Delhi","BLR → DEL","22:20","01:10 22 Mar","2h 50m","non-stop","No info","3897","Business","1","1 Stop(s)","2019-03-08 00:00:00","16","0","1","84629.796895438"
"Air India","2019-05-01 00:00:00","Kolkata","Banglore","CCU → IXR → BBI → BLR","05:50","13:15","7h 25m","2 stops","No info","7662","Business","3","3 Stop(s)","2019-03-22 00:00:00","40","1","1","69539.495381819"
"Jet Airways","2019-06-09 00:00:00","Delhi","Cochin","DEL → LKO → BOM → COK","09:25","04:25 10 Jun","19h","2 stops","No info","13882","First Class","3","3 Stop(s)","2019-05-02 00:00:00","38","0","0","75039.731457801"
"IndiGo","2019-05-12 00:00:00","Kolkata","Banglore","CCU → NAG → BLR","18:05","23:30","5h 25m","1 stop","No info","6218","Business","2","2 Stop(s)","2019-04-24 00:00:00","18","1","1","68923.108525654"
"IndiGo","2019-03-01 00:00:00","Banglore","New Delhi","BLR → NAG → DEL","16:50","21:35","4h 45m","1 stop","No info","13302","Business","2","2 Stop(s)","2019-01-10 00:00:00","50","1","1","71503.245564773"
"SpiceJet","2019-06-24 00:00:00","Kolkata","Banglore","CCU → BLR","09:00","11:25","2h 25m","non-stop","No info","3873","First Class","1","1 Stop(s)","2019-04-27 00:00:00","58","0","0","86433.095913335"
"Jet Airways","2019-03-12 00:00:00","Banglore","New Delhi","BLR → BOM → DEL","18:55","10:25 13 Mar","15h 30m","1 stop","In-flight meal not included","11087","Economy","2","2 Stop(s)","2019-02-23 00:00:00","17","0","1","63061.344322441"
"Jet Airways","2019-03-01 00:00:00","Banglore","New Delhi","BLR → BOM → DEL","08:00","05:05 02 Mar","21h 5m","1 stop","No info","22270","Business","2","2 Stop(s)","2019-02-11 00:00:00","18","1","1","73110.95861398"
"Jet Airways","2019-03-12 00:00:00","Banglore","New Delhi","BLR → BOM → DEL","08:55","10:25 13 Mar","25h 30m","1 stop","In-flight meal not included","11087","Business","2","2 Stop(s)","2019-01-14 00:00:00","57","0","1","87767.89914878"
"Multiple carriers","2019-05-27 00:00:00","Delhi","Cochin","DEL → BOM → COK","11:25","19:15","7h 50m","1 stop","No info","8625","Economy","2","2 Stop(s)","2019-05-02 00:00:00","25","0","0","75039.731457801"
"Air India","2019-06-01 00:00:00","Delhi","Cochin","DEL → BLR → COK","09:45","23:00","13h 15m","1 stop","No info","8907","First Class","2","2 Stop(s)","2019-04-24 00:00:00","38","0","0","68923.108525654"
