Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Cabin_Class,Number_of_Stops,Flight_Layover,Booking_Date,Days_Until_Departure,Is_Holiday_Season,Is_Peak_Season
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,22:20,01:10 22 Mar,2h 50m,non-stop,No info,3897,Economy,1,1 Stop(s),2019-03-14,10,0,1
Air India,2019-05-01,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50,13:15,7h 25m,2 stops,No info,7662,Business,3,3 Stop(s),2019-04-20,11,1,1
Jet Airways,2019-06-09,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25 10 Jun,19h,2 stops,No info,13882,Business,3,3 Stop(s),2019-05-28,12,0,0
IndiGo,2019-05-12,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No info,6218,Business,2,2 Stop(s),2019-04-29,13,1,1
IndiGo,2019-03-01,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4h 45m,1 stop,No info,13302,Business,2,2 Stop(s),2019-02-15,14,1,1
SpiceJet,2019-06-24,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,3873,Economy,1,1 Stop(s),2019-06-09,15,0,0
Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,18:55,10:25 13 Mar,15h 30m,1 stop,In-flight meal not included,11087,Business,2,2 Stop(s),2019-02-24,16,0,1
Jet Airways,2019-03-01,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05 02 Mar,21h 5m,1 stop,No info,22270,First Class,2,2 Stop(s),2019-02-12,17,1,1
Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,08:55,10:25 13 Mar,25h 30m,1 stop,In-flight meal not included,11087,Business,2,2 Stop(s),2019-02-22,18,0,1
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No info,8625,Business,2,2 Stop(s),2019-05-08,19,0,0
Air India,2019-06-01,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13h 15m,1 stop,No info,8907,Business,2,2 Stop(s),2019-05-12,20,0,0
IndiGo,2019-04-18,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4174,Economy,1,1 Stop(s),2019-03-28,21,1,1
Air India,2019-06-24,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667,Economy,1,1 Stop(s),2019-06-02,22,0,0
Jet Airways,2019-05-09,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 10 May,12h 10m,1 stop,In-flight meal not included,9663,Business,2,2 Stop(s),2019-04-16,23,0,0
IndiGo,2019-04-24,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804,Economy,1,1 Stop(s),2019-03-31,24,0,1
Air India,2019-03-03,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 04 Mar,26h 35m,2 stops,No info,14011,Business,3,3 Stop(s),2019-02-06,25,0,1
SpiceJet,2019-04-15,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,5830,Business,2,2 Stop(s),2019-03-20,26,0,1
Jet Airways,2019-06-12,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,10262,Business,2,2 Stop(s),2019-05-16,27,0,0
Air India,2019-06-12,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 13 Jun,23h,2 stops,No info,13381,Business,3,3 Stop(s),2019-05-15,28,0,0
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,16:00,12:35 28 May,20h 35m,1 stop,In-flight meal not included,12898,Business,2,2 Stop(s),2019-04-28,29,0,0
GoAir,2019-03-06,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1 stop,No info,19495,First Class,2,2 Stop(s),2019-02-04,30,0,1
Air India,2019-03-21,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20 19 Mar,15h 20m,1 stop,No info,6955,Business,2,2 Stop(s),2019-02-18,31,1,1
IndiGo,2019-04-03,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943,Economy,1,1 Stop(s),2019-03-02,32,0,1
IndiGo,2019-05-01,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823,Economy,1,1 Stop(s),2019-03-29,33,1,1
